staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
44,0.5,1.0,46.35319019999997,,46.33673880000015,46.35319019999997,46.86878960000013,46.852149700000155,46.852149700000155,47.152200900000025,47.28637780000008,right,1.0,1,1,0.42658339999979944,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
45,0.5,1.0,47.30203150000034,,47.28643349999993,47.30203150000034,47.801987499999996,47.801987499999996,47.801987499999996,48.101957200000015,48.4697056,left,-1.0,1,1,0.6636281999999483,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
46,0.5,1.0,48.48544670000001,,48.46976360000008,48.48544670000001,48.98511929999995,48.98511929999995,48.98511929999995,49.28527699999995,49.46936360000018,right,1.0,0,0,0.4692433999998684,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
47,0.5,1.5,49.485207100000025,,49.46942530000024,49.485207100000025,49.98505890000024,49.98505890000024,49.98505890000024,50.285046800000146,50.435898799999904,right,1.5,1,1,0.4409984999997505,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
48,0.5,1.5,50.45165760000009,,50.43595529999993,50.45165760000009,50.95168580000018,50.9350929000002,50.9350929000002,51.23501280000028,51.3027532000001,right,1.5,1,1,0.3580053000000589,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
49,0.5,1.5,51.318484700000226,,51.30281160000004,51.318484700000226,51.818209300000035,51.818209300000035,51.818209300000035,52.118322700000135,52.23590659999991,left,-1.5,0,0,0.41661740000017744,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
50,0.5,2.0,52.251502399999936,,52.23596429999998,52.251502399999936,52.7514556000001,52.7514556000001,52.7514556000001,53.051329500000065,53.16901589999998,left,-2.0,1,1,0.40032769999970697,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
51,0.5,2.0,53.18475380000018,,53.169073300000036,53.18475380000018,53.684657100000095,53.684657100000095,53.684657100000095,53.98469120000027,54.10212900000033,left,-2.0,1,1,0.40422450000005483,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
52,0.5,2.0,54.11793990000024,,54.10218540000005,54.11793990000024,54.61779830000023,54.60134370000014,54.60134370000014,54.901224900000216,55.21933119999994,left,-2.0,1,1,0.6150054999998247,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
53,0.5,1.5,55.23432630000025,,55.21939049999992,55.23432630000025,55.73464330000024,55.73464330000024,55.73464330000024,56.034260899999936,56.3186453000003,right,1.5,1,1,0.5746752999998535,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
